X,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24
MGG_04867,0,4.248197452,5.583492437,4.742317312,15.14596907,6.291145626,11.89057437,18.75580418,0,9.164293422,5.013222913,6.967954062,5.594638581,1.075671957,6.767185088,13.8662163,0,2.427495214,5.822859871,2.317934852,10.02790907,6.363057353,3.454543899,6.089925016
MGG_04868,0,5.462391874,11.53821358,3.811086326,8.758552678,11.55606185,10.42436408,4.55983792,0,7.575156663,16.11518086,5.333031592,7.193664766,2.305190152,2.900447171,7.732127096,3410.46829,8.918021134,11.58720163,10.64440409,7.236443243,3.246709683,4.903397212,3.96186569
MGG_04869,0,17.05283698,37.35481829,19.26292331,36.99346812,27.65860206,33.05999493,12.65350003,0,8.758740146,40.72664149,39.95758069,21.92292755,19.53332174,33.2009245,15.1458124,0,6.960209195,27.82588584,24.36893595,26.01408794,67.57187722,44.72259087,22.31162422
MGG_04870,0,60.4115651,70.51987048,62.11413628,71.72452961,33.35256277,63.37508402,38.53499808,0,121.1756598,78.16954262,105.7517178,38.03461987,34.88700895,50.22680612,49.41974134,0,90.84273036,55.68695384,85.29700521,41.10084256,29.54463828,45.24707994,48.1121576
MGG_04871,0,30.4574911,21.17018798,17.98081578,20.88253191,12.57719599,15.64896199,14.45095212,0,11.37175733,48.38393034,19.21415822,20.82676844,4.202073126,10.10779091,9.559035247,0,21.75493686,16.0565569,25.56685454,28.14578071,8.285683544,4.546460456,8.396494995
MGG_04871,0,36.38604087,25.29096446,21.48078106,24.94731615,15.02534683,18.69503199,17.26382953,0,13.58526958,57.801861,22.95419358,24.88069832,5.020006541,12.07527212,11.41970119,0,25.9895347,19.18196524,30.54344205,33.62435612,9.89849161,5.431428854,10.03087251
MGG_04872,0,84.86546256,75.23716063,92.9489252,64.91156738,69.003822,60.30069015,27.8619809,0,64.93924786,102.0378255,91.92290531,56.30328266,6.081651428,23.38136777,38.45188001,0,65.87813528,52.6742062,62.03117292,75.59460494,22.11830486,14.32299433,25.2496318
MGG_04873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_04875,0,21.26369775,30.1703926,8.092138149,1.914414504,0.715667274,8.607749269,7.530424153,0,4.170041692,8.554402778,21.13758811,1.909302365,0.815774278,0.769820505,4.506831757,0,5.522933292,2.207986958,13.18416561,0.814823923,0,1.429023734,1.731942118
MGG_04876,0,348.6975123,556.6339932,456.4723075,403.4824487,232.2403081,146.3533109,175.0493334,0,244.2766528,670.7952447,555.2325228,361.5727397,185.0805783,194.219861,172.8607181,0,400.558004,416.7672226,362.8652457,273.5092301,253.5160504,168.7501536,204.5210947
MGG_04877,0,20.71488361,26.37518116,20.23375402,15.38628001,11.88719121,16.47168292,6.724725866,0,15.64029117,22.91743962,29.72974166,16.36820629,3.27821677,5.637135492,9.659123833,0,11.83685113,14.19659348,21.19240773,17.90004095,4.740278194,4.211225798,8.351842195
MGG_04878,0,86.19361749,73.27366575,53.61041524,47.20280283,58.37977995,60.56834753,23.42616731,319.6290024,74.95196676,62.09380625,69.40940617,27.82808197,17.83486515,19.91241147,33.88206723,0,83.99661155,46.17332727,53.77419893,30.69937697,29.60694852,17.72028263,20.15453513
MGG_04879,0,63.98210742,61.20692088,47.46534788,48.65992702,25.78665165,36.06408785,19.981916,0,38.43690603,81.23864983,50.92237136,38.93065007,5.468589626,7.095736828,27.37944826,0,23.13956241,51.80478492,41.98088463,32.09053584,7.413320443,8.980821096,14.02895935
MGG_04880,0,4.618438552,3.035053928,0,5.488659464,6.839434801,4.700679219,9.595491634,0,0,2.725068954,0,3.649335249,3.118451935,0.490464153,11.84440082,0,0,0,5.039897416,3.114819023,4.611742545,2.389937515,1.103446218
MGG_04881,0,26.41853356,28.5824772,27.87292029,67.21722036,50.57382067,47.54756739,43.50911733,0,9.730097282,53.22739506,61.65129865,54.73333446,25.83285213,33.52995977,63.84678323,0,34.97857752,47.10372178,40.43144119,57.58089055,27.34536126,22.14986788,21.9379335
MGG_04882,434.400513,154.3933267,171.1895896,140.0797206,172.4100926,128.9044359,90.53483882,177.3833245,607.8732449,134.3205988,239.9299987,178.8993698,133.0413729,172.407886,215.5783859,205.9028189,0,168.8219423,159.6597081,131.7353651,170.3323088,196.1484135,150.7719739,165.4644691
MGG_04883,0,72.81080475,68.63494526,51.63255526,79.59503565,57.44793222,44.03920319,43.39863862,0,72.09718685,66.90705706,81.57467256,78.59652454,62.46138121,48.16834165,51.48289559,0,44.33360433,68.16891774,78.15266167,87.54531515,52.64177254,69.7086102,62.74002361
MGG_04884,0,32.20382407,46.68324474,34.36353273,32.10159462,21.50751079,29.72449274,21.31879709,0,35.41644038,39.12090515,44.88073408,41.16326455,13.85684998,17.09974176,11.04139059,0,23.45331919,31.73513459,36.17621281,46.84547028,18.91596095,17.2715904,31.68199819
MGG_04885,0,45.64585033,65.10258782,47.59537477,44.04637401,39.74099494,38.92827891,28.6592397,0,45.44681913,56.23359345,38.39434609,38.9743843,33.23406495,28.89826398,30.99067419,0,47.29307382,40.10590754,36.94793828,41.44132637,22.12200152,26.14221387,32.35785128
MGG_04886,0,31.45502899,6.810210753,10.20745709,13.68415286,27.80456781,31.64288041,11.39869043,0,12.6242595,5.035594495,8.665488819,3.692883114,3.601573865,6.150013871,13.64384767,0,36.22658664,5.570328066,6.652224772,5.139111612,3.855161881,3.154508957,7.136618296
MGG_04887,0,19.63389556,15.17954637,20.14482489,16.01310168,20.95167207,13.9590743,5.24901336,0,9.965792452,23.85107322,9.471704583,15.59009503,7.310931527,9.198794573,6.058502813,0,26.39801277,9.234342826,15.75411804,17.52579477,2.402626165,4.055500893,11.72742019
MGG_04888,354.2203931,16.57889042,11.91639168,10.84407894,77.30588092,71.35320337,69.86936665,16.14614332,0,3.352903307,12.22778518,5.665194285,16.71625197,1.967758941,7.015001516,15.09874103,0,4.440689727,3.550644009,5.653690232,12.66634002,7.328971664,6.89400072,2.475662733
MGG_04889,0,0,0,0,220.4822573,51.97378802,10.82457446,16.5721445,0,0,0,0,166.6708653,21.54321553,3.952988337,12.39768598,0,0,0,0,227.7334183,19.46958552,7.862102898,11.43441371
MGG_04890,0,58.44155768,81.84771185,8.689628965,6.325437364,12.41438029,20.41654348,51.00677712,0,92.48669908,91.15363614,81.84483999,23.34162127,13.54442764,55.0047474,25.12868204,0,80.74909365,144.4495781,138.5269758,10.29792666,35.87509835,101.0138542,29.47102131
MGG_04891,0,44.37581591,19.720218,7.613313407,10.32651042,9.157153328,6.941498565,1.889289847,0,96.51302411,10.7309668,9.943421626,14.13109703,0.153500722,1.931383989,2.544093193,0,63.39281657,27.42084632,11.90787597,11.34582045,3.329414329,2.688932234,5.648795832
MGG_04892,0,0,0,30.579916,0,0,0,0,0,4.727533897,0,0,1.443037795,1.84967002,0,0,0,0,5.006344761,11.95740367,0,0,0.810034844,1.308990121
MGG_04893,0,8.442044997,0.729970506,14.25994421,9.387342244,9.869845739,7.348739837,1.730881735,0,2.875475081,0,6.073141506,12.28798573,1.500057653,2.595188171,6.733372781,0,3.808368891,0,3.636485432,6.367818037,2.218369833,2.791941564,3.450113826
MGG_04894,359.5230936,73.09261745,83.7995525,45.49318385,71.51951259,44.38728829,46.16185615,34.82418561,0,57.85264,57.40011582,56.06252518,84.48622133,18.41877356,30.57418854,38.00542982,0,72.11467389,69.67341567,53.0795184,63.39316179,39.38128311,28.18318408,57.7926417
MGG_04895,782.648969,320.1397825,390.5503061,203.3934562,54.16450223,95.49693512,80.10084315,35.17937441,365.0635409,366.295841,318.578491,255.5601318,33.16568428,22.70495783,52.88107781,36.91909292,0,427.3536763,215.3054545,316.459257,43.10524767,185.11213,75.03305998,69.0583699
MGG_04896,0,99.57572968,130.8744097,72.25248188,59.60734231,113.0537892,82.76824999,25.86041988,0,40.09724755,54.83686273,47.18293156,29.7240852,44.26324278,47.93836889,43.33566951,0,60.69262331,48.52802438,72.44172203,35.81705503,88.38343163,81.95435683,51.54678702
MGG_04897,0,21.36649883,7.020606149,23.85169673,9.592700552,6.328319583,1.631022951,16.09212641,0,29.49902277,13.86782571,23.36375745,8.160160542,8.656224246,12.93362667,13.4500026,0,31.74390856,38.07223394,33.80865491,9.366651643,16.00164058,11.37258513,12.5070662
MGG_04898,0,389.4006105,573.3576603,500.6486587,467.3001906,357.2405739,208.7611906,201.9413744,0,581.147643,686.3970994,589.1576351,548.2968704,522.4497984,406.0542467,244.0961128,0,507.2957253,685.3556332,541.1916138,610.1050933,482.9881642,233.0988217,250.8763009
MGG_04899,0,1.777731543,1.251701129,1.063127425,1.341395166,2.632638465,2.907944452,1.319107557,0,4.382807711,1.498478322,2.082757597,1.003359888,2.036318193,1.887896929,1.184195413,0,2.902363622,1.160322004,2.078528236,1.926896151,4.437885281,1.314194105,2.275387703
