,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24
MGG_04944,0,129,26,79,1558,428,207,128,0,40,19,16,1077,77,651,191,0,53,17,19,895,212,238,296
MGG_04946,0,2,1,2,10,11,7,55,1,1,8,7,19,766,1875,110,0,1,73,19,43,357,1011,565
MGG_04947,1,113,61,117,284,225,156,304,0,44,115,99,410,697,2062,346,1,36,202,183,333,503,989,635
MGG_04948,0,27,14,14,57,29,20,17,0,13,12,7,42,145,180,13,0,8,17,15,44,75,156,93
MGG_04949,0,2,1,2,4,6,1,4,0,0,4,1,6,10,21,3,0,1,3,0,7,1,8,4
MGG_04953,0,145,48,43,92,82,48,61,0,106,37,29,94,123,114,72,0,76,48,26,43,56,107,77
MGG_04954,0,168,59,87,208,193,88,95,0,58,43,43,225,215,484,81,0,40,48,36,226,156,251,237
MGG_04955,0,81,32,46,99,107,85,21,0,17,22,23,69,72,203,30,0,27,21,17,72,64,100,80
MGG_04956,0,404,44,55,44,107,87,28,1,227,34,30,49,44,71,21,0,187,18,32,16,39,80,52
MGG_04957,0,156,52,66,208,149,92,69,0,74,38,44,156,209,327,102,0,67,40,40,157,132,222,131
MGG_04958,0,187,94,116,332,168,117,132,1,91,58,58,237,645,747,200,0,70,48,60,190,288,512,343
MGG_04959,0,43,31,32,9,13,9,7,0,6,7,11,7,34,26,10,0,15,4,8,4,6,23,10
MGG_04960,0,34,52,55,211,104,59,125,0,15,25,33,282,1295,1228,117,0,11,78,27,205,315,843,180
MGG_04961,0,89,12,44,262,80,67,33,0,47,6,15,356,34,224,41,0,66,6,22,308,67,82,73
MGG_04962,0,0,2,2,15,15,9,0,0,1,1,0,4,1,11,8,0,0,1,4,3,4,5,6
MGG_04963,0,52,6,16,60,22,26,7,0,17,7,6,99,53,37,10,0,19,5,11,76,23,28,30
MGG_04964,0,127,94,76,248,148,56,35,0,58,50,51,313,95,138,47,0,61,42,41,212,67,84,123
MGG_04965,0,132,28,58,64,21,18,3,0,42,13,22,120,21,14,2,0,54,11,36,79,9,21,10
MGG_04966,1,282,347,384,789,511,251,126,0,160,171,145,920,662,1116,220,0,112,99,111,699,317,543,535
MGG_04967,0,249,82,71,400,327,214,92,1,178,45,40,221,172,482,130,0,110,46,56,201,98,315,145
MGG_04968,0,29,6,5,342,383,205,41,0,19,2,3,151,61,290,95,0,10,0,9,123,76,127,72
MGG_04969,1,110,85,99,216,107,66,91,0,26,82,82,147,124,412,81,0,42,64,77,158,171,276,240
MGG_04971,0,41,15,30,54,86,59,17,0,11,16,10,31,30,75,33,0,12,16,14,37,27,38,33
MGG_04972,0,2,1,8,22,14,12,3,0,3,3,2,22,7,14,3,0,2,2,2,18,8,16,18
MGG_04973,0,1,2,2,91,20,18,1,0,1,0,2,96,197,115,3,0,0,0,3,128,109,101,102
MGG_04974,0,291,324,474,677,508,293,184,1,96,266,452,722,474,1262,791,0,91,310,401,481,435,379,420
MGG_04975,0,6,6,8,91,16,30,57,0,5,8,4,30,555,487,142,0,2,13,17,32,137,382,188
MGG_04976,0,270,68,124,323,241,122,69,0,77,48,63,258,243,500,127,0,109,58,40,261,173,275,223
MGG_04977,1,397,308,341,1008,598,352,309,1,260,96,127,1866,797,1680,309,0,113,135,136,1686,511,1077,1007
MGG_04978,0,676,376,402,866,671,319,195,0,326,198,228,570,332,1028,278,2,243,179,178,580,431,583,513
MGG_04979,0,390,172,132,218,292,187,142,1,188,156,110,233,112,391,197,0,182,129,135,135,129,223,171
MGG_04980,1,110,111,82,84,81,25,37,0,26,87,51,100,67,122,50,0,25,46,37,82,36,74,85
MGG_04981,0,10,8,0,24,22,5,1,0,3,4,5,26,9,12,5,0,2,6,3,11,6,9,6
MGG_04982,0,142,49,75,161,168,96,52,0,53,49,31,141,46,214,57,0,61,42,39,123,64,97,111
MGG_04983,0,1,0,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MGG_04984,0,32,6,19,73,96,51,8,0,13,9,5,28,13,28,25,0,7,3,6,32,9,19,35
MGG_04985,1,215,115,131,284,452,273,128,0,79,68,73,176,251,449,167,0,77,94,99,195,130,351,232
MGG_04986,0,496,125,221,1548,969,777,320,1,139,116,66,959,761,2304,471,0,112,46,55,868,453,826,565
MGG_04987,1,57,41,70,100,69,33,49,0,26,32,50,118,118,228,27,0,12,40,30,75,39,87,69
MGG_04988,0,126,34,90,190,126,59,25,0,46,55,36,163,28,110,46,0,53,32,37,157,40,58,82
MGG_04989,0,152,101,86,179,155,79,41,0,60,49,81,141,113,272,48,0,57,54,80,115,120,200,164
MGG_04990,0,87,92,100,192,156,69,27,0,61,32,50,205,107,221,59,0,31,35,37,158,68,77,82
MGG_04991,0,98,5,20,70,71,50,4,0,24,3,8,94,30,64,18,0,36,5,7,65,19,33,17
MGG_04992,0,1,1,2,4,2,0,0,0,2,1,2,9,0,0,0,0,0,3,3,0,1,1,0
MGG_04993,0,43,32,96,93,39,35,25,0,23,26,43,121,53,87,21,0,19,35,36,78,18,33,31
MGG_04994,0,490,116,840,797,184,157,126,0,281,170,312,1474,155,368,192,0,225,147,284,613,125,247,145
MGG_04995,0,57,46,49,87,42,46,32,0,27,20,29,122,177,198,25,0,22,23,26,109,33,90,64
MGG_04996,0,29,43,36,71,42,26,13,0,25,16,23,88,77,67,14,0,13,18,17,83,22,33,24
MGG_04997,0,0,4,4,9,2,0,3,0,0,3,5,33,2,8,2,0,0,4,3,22,2,8,7
MGG_04998,0,17,29,13,43,23,9,10,0,10,15,14,55,91,148,9,0,5,17,10,54,28,113,34
MGG_04999,0,49,39,43,65,49,22,48,0,16,38,36,45,78,361,39,0,9,72,59,60,100,194,181
MGG_05000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_05001,0,10,9,12,17,6,4,5,0,4,2,7,21,9,11,4,0,3,7,10,9,5,20,22
MGG_05002,0,304,121,154,236,285,196,65,0,100,76,68,145,100,407,122,0,113,95,82,128,156,251,193
MGG_05004,0,33,19,23,54,40,35,19,0,13,14,12,37,26,84,22,0,10,12,13,37,14,47,27
MGG_05005,0,132,55,71,88,128,91,24,0,61,38,37,67,83,149,56,0,50,35,31,67,51,101,103
