,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24
MGG_00005,0,1,10,18,15,11,6,2,0,0,2,4,20,8,10,13,0,4,0,2,10,3,7,1
MGG_00010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00015,0,5,10,0,26,46,9,14,0,3,4,3,6,9,96,15,0,2,16,12,19,41,159,69
MGG_00016,0,2,12,0,108,106,21,26,0,1,0,3,49,12,161,39,0,2,6,8,104,170,307,225
MGG_00017,0,0,6,0,8,5,1,13,0,0,8,2,2,20,106,6,0,0,24,28,1,70,220,76
MGG_00018,0,0,0,0,0,3,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,2,45,27
MGG_00019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,9
MGG_00020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
MGG_00021,0,1,6,30,20,5,4,2,0,0,2,15,13,0,7,1,0,0,8,15,6,1,6,1
MGG_00022,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0
MGG_00023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MGG_00026,0,0,2,6,4,0,0,1,0,0,1,1,4,0,0,0,0,0,1,0,0,1,0,1
MGG_00031,0,0,0,0,6,0,1,8,0,0,0,0,1,5,11,2,0,0,0,0,1,0,18,4
MGG_00032,0,5,6,9,15,23,12,4,0,3,0,6,12,5,14,5,0,3,0,0,12,3,7,3
MGG_00033,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
MGG_00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00039,0,5,6,15,308,140,61,28,0,4,10,4,172,31,113,41,0,5,11,9,135,50,58,65
MGG_00040,0,21,15,12,173,39,33,109,0,6,19,21,195,756,1353,87,0,2,94,44,324,772,1590,1167
MGG_00041,0,22,23,47,107,81,33,8,0,11,3,15,62,13,86,31,0,8,3,7,63,46,50,72
MGG_00042,0,0,0,0,138,103,70,30,0,0,0,0,17,13,39,10,0,0,0,1,16,8,20,12
MGG_00043,0,0,0,157,7,3,2,0,0,0,0,35,21,1,0,0,0,0,0,21,5,1,6,4
MGG_00045,0,7,11,36,1003,610,256,129,0,2,2,8,277,96,308,140,0,1,6,9,165,80,288,267
MGG_00046,0,3,0,1,172,70,33,22,0,1,0,0,25,12,91,17,0,0,0,1,25,10,26,18
MGG_00047,0,901,36,400,1408,486,323,60,0,227,4,41,1293,265,778,846,0,472,27,92,365,124,305,64
MGG_00048,0,4,11,49,82,80,53,29,0,6,5,16,117,11,40,34,0,2,10,14,48,15,30,13
MGG_00049,0,142,63,141,321,378,266,59,1,63,52,50,156,55,154,143,0,50,49,45,166,63,120,85
MGG_00050,0,41,31,17,106,54,13,15,0,9,8,9,49,31,124,21,0,15,14,14,43,8,60,38
MGG_00052,0,48,46,7,22,32,33,23,0,28,23,20,91,111,80,24,0,17,63,26,51,15,121,63
MGG_00053,1,102,82,90,164,126,74,57,0,54,65,50,198,194,252,67,0,38,27,30,147,52,84,63
MGG_00054,0,6,19,8,21,25,13,7,0,17,9,11,44,1,12,1,0,6,13,7,27,7,11,7
MGG_00056,0,20,7,18,37,38,15,2,0,11,8,9,16,2,34,11,0,6,5,4,12,2,9,12
MGG_00057,0,7,7,5,14,29,28,6,0,15,3,2,3,1,5,6,0,6,9,5,2,4,3,11
MGG_00058,0,22,19,14,64,123,68,14,0,22,11,11,27,39,35,33,0,9,7,4,18,13,52,28
MGG_00059,0,1,6,8,4,2,1,0,0,0,4,2,0,2,3,2,0,0,5,1,0,1,1,3
MGG_00061,0,13,3,4,9,15,10,2,0,4,4,1,2,1,8,10,0,1,1,5,3,6,5,4
MGG_00062,1,325,97,119,295,300,179,65,1,139,76,57,164,79,154,107,0,149,30,40,131,75,107,87
MGG_00063,0,721,193,127,458,435,255,146,1,399,124,96,369,327,1079,195,0,336,106,125,388,372,590,892
MGG_00065,0,176,88,171,841,522,247,99,0,46,92,121,362,394,746,203,0,45,106,88,430,265,326,245
MGG_00066,0,3,1,0,5,4,3,1,0,1,0,0,0,0,3,0,0,0,0,0,0,4,3,8
MGG_00067,0,218,63,93,215,138,96,75,0,134,27,46,200,296,591,70,0,104,35,40,208,197,394,334
MGG_00068,0,26,6,14,47,76,29,25,0,10,6,5,38,35,45,40,0,8,4,3,21,27,51,50
MGG_00070,0,5,3,2,61,26,14,79,0,0,1,0,9,47,128,49,0,1,2,7,26,45,86,45
MGG_00071,0,0,0,0,7,39,23,24,0,1,0,0,0,2,18,1,0,0,2,0,0,3,36,26
MGG_00072,0,0,534,62,0,0,1,0,1,2,138,190,0,0,0,1,0,1,162,118,0,0,0,0
MGG_00073,1,78,10,59,79,93,46,34,0,19,26,24,76,99,216,49,0,24,43,15,56,68,80,58
MGG_00074,0,8,6,4,3,12,5,3,0,1,0,0,2,1,4,3,0,2,2,2,0,0,2,1
MGG_00075,0,53,66,63,89,209,114,27,0,40,27,28,66,27,101,50,0,30,21,34,58,62,97,53
MGG_00076,0,146,48,64,108,95,65,18,1,66,26,43,46,48,99,38,0,61,31,32,64,40,50,50
MGG_00077,0,198,30,18,16,9,6,4,0,132,13,8,11,9,19,4,0,129,10,13,14,11,14,2
MGG_00078,0,35,2,2,3,6,7,1,0,22,1,2,5,0,8,1,0,11,2,5,1,8,6,7
MGG_00079,0,1,1,0,29,19,15,2,0,0,0,0,0,0,57,16,0,0,0,1,7,48,30,103
MGG_00080,0,9,2,13,79,35,36,4,0,2,1,2,27,42,406,86,0,1,3,4,78,551,225,380
MGG_00081,0,192,907,384,1795,253,304,1119,2,109,1128,1758,3291,19733,11300,1129,0,111,2749,1733,2449,3753,8940,2170
MGG_00082,0,46,13,28,32,66,48,7,0,21,6,6,16,18,37,21,0,17,8,9,18,17,52,34
MGG_00083,0,1,26,26,262,65,21,15,0,0,16,5,191,85,44,4,0,0,13,9,192,20,16,15
MGG_00084,0,1,200,75,72,17,20,11,0,3,115,76,45,25,53,15,0,2,161,52,29,12,33,6
MGG_00085,0,73,31,47,323,161,112,52,0,38,10,8,130,37,180,85,0,28,9,11,98,53,85,99
MGG_00086,0,292,12,4,3,45,223,6,0,384,10,7,8,0,5,5,0,122,6,12,7,4,3,28
MGG_00087,0,61,82,68,131,74,52,58,0,30,33,37,227,324,252,76,0,22,25,25,133,43,103,70
MGG_00088,0,6,9,14,4,8,9,1,0,0,15,17,0,1,2,3,0,0,12,9,5,2,2,6
MGG_00095,0,4,2,2,4,10,8,0,0,1,0,1,7,2,8,1,0,0,1,2,8,3,2,7
MGG_00096,0,16,10,10,67,30,18,7,0,3,6,4,26,37,38,28,0,9,6,6,23,15,24,16
MGG_00097,0,5,4,72,71,3,3,15,0,3,8,27,304,1272,507,10,0,0,24,12,230,370,616,739
MGG_00099,0,4,2,235,223,8,13,57,0,2,6,65,913,2879,1907,67,0,0,36,47,935,806,994,3360
MGG_00100,0,35,41,23,61,31,6,9,0,29,19,16,26,15,32,9,0,17,24,18,28,17,39,15
MGG_00101,0,50,28,33,75,55,37,32,0,13,17,17,80,75,133,32,0,21,16,20,79,45,53,44
MGG_00102,0,24,26,22,45,29,7,14,0,11,17,12,49,53,88,15,0,20,19,14,24,45,49,39
MGG_00103,0,167,107,141,271,182,85,34,0,56,42,52,140,142,368,62,0,42,44,44,192,100,143,129
MGG_00104,1,146,59,139,252,118,64,13,0,39,51,59,276,80,188,39,0,35,54,43,217,77,151,149
MGG_00105,0,84,29,42,84,53,39,35,0,37,25,23,87,23,74,32,0,49,25,17,84,33,45,44
MGG_00106,1,168,34,80,188,153,79,29,1,49,33,35,174,24,158,47,0,77,28,28,165,46,73,121
MGG_00109,4,248,160,168,226,330,318,64,0,92,154,199,162,439,401,142,0,89,202,150,297,194,336,118
MGG_00110,0,20,13,17,110,175,238,3,0,4,14,6,42,15,114,193,0,8,8,9,77,77,79,71
MGG_00111,0,83,14,28,81,115,67,22,0,16,14,13,63,115,140,58,0,14,16,19,73,70,109,60
MGG_00112,0,3,26,1,28,56,100,11,0,2,6,9,12,81,125,19,0,2,13,12,32,147,130,43
MGG_00116,0,6,6,9,7,5,2,4,0,3,2,0,3,1,6,2,0,1,4,4,4,1,4,2
MGG_00117,0,95,38,81,112,90,73,26,0,30,32,32,90,73,154,42,0,31,26,28,87,27,48,40
MGG_00118,0,271,59,168,284,215,134,43,0,93,65,46,185,63,116,54,0,100,35,56,126,41,67,49
MGG_00119,4,1814,625,584,1500,1181,381,322,2,912,415,310,923,1474,2804,515,1,825,234,243,671,845,1206,789
MGG_00120,3,1,958,868,508,130,115,35,1,1,633,570,475,35,135,52,0,0,660,488,214,28,94,38
MGG_00123,0,56,53,38,70,48,41,13,0,32,23,33,54,21,83,28,0,26,21,17,45,24,34,47
MGG_00124,0,163,65,90,223,162,104,138,0,59,52,42,248,155,531,124,0,59,40,52,244,139,233,237
MGG_00125,0,107,52,59,104,87,57,28,0,27,30,27,119,69,103,23,0,40,43,38,96,52,66,94
MGG_00126,0,1,11,1,37,22,10,320,0,1,3,3,13,1799,2693,348,0,1,22,6,21,916,2148,565
MGG_00127,0,38,68,11,159,92,57,85,0,30,16,35,54,351,823,80,0,16,50,23,68,313,925,403
MGG_00128,0,69,41,34,89,58,21,58,0,18,32,52,73,203,419,87,0,32,76,74,64,195,388,309
MGG_00129,0,47,35,36,109,58,32,14,0,17,22,22,122,60,77,17,0,6,21,19,84,18,46,30
MGG_00130,0,22,33,16,62,27,12,10,0,19,10,18,30,19,38,8,0,16,18,23,33,10,27,28
MGG_00133,0,14,3,9,9,22,15,3,0,7,3,2,19,12,17,13,0,7,5,3,10,15,10,10
MGG_00134,0,67,76,113,229,190,111,61,0,28,51,96,179,118,201,59,0,51,68,63,161,80,159,108
MGG_00135,0,143,176,133,322,236,128,66,1,56,68,64,356,179,467,103,0,48,78,51,371,162,208,221
MGG_00136,0,60,34,42,113,61,26,21,0,27,28,29,97,90,160,48,0,23,19,19,68,29,67,55
MGG_00137,0,42,20,35,53,52,33,43,0,13,23,26,46,108,153,66,0,14,22,21,48,61,189,70
MGG_00138,0,169,99,114,212,165,130,82,0,37,49,42,174,117,192,101,0,46,35,41,152,72,78,61
MGG_00139,0,312,132,206,429,403,235,117,0,113,76,81,321,330,587,168,0,121,55,82,309,119,274,154
MGG_00140,0,34,20,36,32,38,32,27,0,31,3,14,29,87,76,39,0,21,8,4,24,21,68,33
MGG_00141,1,188,51,92,476,164,172,482,2,59,55,77,164,2392,2625,1008,0,88,65,53,184,536,1936,611
MGG_00142,0,386,67,136,163,110,78,37,0,140,50,37,166,37,91,55,0,136,32,44,133,48,92,135
MGG_00143,0,286,70,102,252,386,241,187,0,103,58,53,173,105,335,218,0,75,45,33,160,92,195,175
MGG_00144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00145,0,21,5,6,15,6,7,2,0,6,4,3,9,5,4,5,0,7,2,5,6,3,4,4
MGG_00146,0,38,21,46,88,38,15,26,0,10,10,17,117,49,132,29,0,14,17,15,105,26,50,56
MGG_00148,0,0,2,2,11,4,0,0,0,0,0,2,7,5,1,0,0,0,1,0,4,2,5,0
MGG_00149,0,517,153,208,484,459,263,83,2,255,89,116,353,496,588,189,0,213,107,95,331,245,382,308
MGG_00150,0,285,131,100,614,511,725,635,0,131,85,137,529,2431,2531,669,0,124,205,227,742,1622,2616,1512
MGG_00151,0,55,53,43,115,133,74,23,0,14,26,21,155,23,82,31,0,7,15,24,96,21,64,37
MGG_00152,0,81,37,28,82,57,39,17,0,35,42,41,133,39,135,32,0,40,69,34,94,74,128,139
MGG_00153,0,144,235,51,396,193,77,787,0,51,430,286,1057,1960,4634,677,1,51,1259,678,960,2572,4185,2109
MGG_00154,0,41,30,42,70,47,25,12,0,24,13,13,64,67,130,36,0,7,13,14,56,49,105,47
MGG_00155,0,55,89,46,147,91,36,59,0,21,65,54,79,224,396,78,0,25,88,67,101,140,292,141
MGG_00156,0,5,4,3,7,8,5,1,0,2,0,0,1,1,2,9,0,0,2,1,1,2,9,6
MGG_00157,0,126,59,70,199,128,95,63,1,70,31,43,135,120,359,74,0,54,50,34,112,105,181,118
MGG_00158,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MGG_00160,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,1,1
MGG_00161,0,25,28,14,52,29,18,4,0,19,14,13,83,24,24,5,0,9,15,8,68,11,25,29
MGG_00162,0,184,185,115,440,242,133,173,0,112,94,108,485,1146,1252,179,0,71,109,100,473,406,597,371
MGG_00163,0,88,30,13,44,61,69,5,0,56,18,10,30,19,46,13,0,30,11,18,41,18,30,37
MGG_00164,0,397,130,148,230,216,125,97,0,126,57,70,335,170,190,97,0,130,54,52,272,73,137,81
MGG_00166,0,29,40,58,71,17,17,27,0,5,31,48,60,104,189,35,0,15,30,31,47,45,88,65
MGG_00167,1,597,733,471,880,354,220,842,0,213,412,389,769,765,2553,921,0,238,560,401,630,1017,1997,956
MGG_00168,1,842,856,527,1319,602,439,708,1,337,303,379,784,564,2309,727,0,320,470,398,900,1038,1847,926
MGG_00169,0,43,24,26,94,50,30,10,0,15,18,19,94,14,41,15,0,13,9,10,75,18,30,33
MGG_00170,0,252,219,175,462,264,137,119,0,124,113,103,475,292,641,147,0,80,120,89,365,214,317,365
MGG_00171,0,176,63,90,134,103,75,44,0,65,36,41,158,96,134,40,0,72,37,42,146,35,75,94
MGG_00172,0,22,39,19,45,22,28,10,0,20,23,23,68,36,81,22,0,13,30,23,67,34,62,66
MGG_00174,0,55,37,32,96,41,27,10,0,18,19,9,88,33,64,16,0,27,8,22,51,20,48,59
MGG_00175,2,682,473,505,1397,971,494,330,0,403,211,246,1252,2193,3350,538,0,192,215,197,1223,905,2226,1662
MGG_00176,0,17,2,3,9,18,9,3,0,2,0,3,3,6,4,5,0,1,4,6,11,3,11,8
MGG_00177,0,176,66,93,115,126,110,60,0,61,30,55,63,56,90,57,0,41,36,35,75,35,66,79
MGG_00178,0,292,126,215,229,194,127,42,0,122,38,60,274,175,162,59,0,83,40,36,180,61,74,72
MGG_00179,2,1634,489,560,2061,1934,1310,1002,2,462,271,314,798,1681,7155,1568,1,386,268,262,857,1288,2579,2099
MGG_00180,0,36,19,32,63,37,16,5,0,24,9,15,45,16,32,12,0,19,13,14,33,18,25,22
MGG_00181,0,20,6,5,11,4,2,3,0,7,10,5,1,1,15,4,0,7,6,11,0,12,6,3
MGG_00183,0,132,158,34,93,69,43,47,0,44,81,55,90,55,225,48,0,37,80,94,119,109,205,139
MGG_00184,0,274,26,91,344,278,252,76,0,82,27,18,235,104,286,158,0,92,3,13,222,85,146,119
MGG_00187,0,46,20,41,84,64,24,15,0,20,8,19,79,34,96,24,0,15,4,11,89,38,38,42
MGG_00190,0,26,20,21,88,78,20,4,0,11,7,3,67,27,75,12,0,10,8,3,105,34,49,17
MGG_00193,0,55,82,30,103,93,34,27,1,21,28,41,99,148,262,22,0,28,64,34,107,105,211,96
MGG_00194,0,22,58,22,23,71,34,60,0,7,38,38,7,425,3730,334,0,2,124,77,14,248,1522,824
MGG_00195,0,436,553,249,164,401,230,299,0,77,225,252,208,138,1149,273,0,37,529,393,182,417,1354,679
MGG_00198,0,20,11,11,28,25,20,9,0,11,2,8,15,31,75,16,0,10,18,13,18,232,114,78
MGG_00199,1,259,63,74,78,82,53,15,0,186,23,21,63,30,122,33,0,117,42,38,58,31,62,48
MGG_00201,0,41,11,7,13,20,10,1,0,13,9,11,13,11,17,12,0,20,11,15,13,10,22,9
MGG_00202,0,6,3,7,41,9,6,1,0,3,3,0,36,14,19,5,0,2,0,1,13,7,22,10
MGG_00203,0,6,0,4,19,62,16,2,0,1,1,1,9,5,28,5,0,2,1,1,6,10,14,13
MGG_00204,0,58,30,16,756,482,275,120,0,60,10,10,556,258,537,164,0,26,21,15,564,148,307,302
MGG_00205,0,12,22,15,156,187,124,10,0,1,7,10,143,123,69,15,0,5,10,14,164,26,43,27
MGG_00207,0,11,21,12,27,20,15,17,0,15,6,14,28,42,52,16,0,3,16,11,20,22,51,34
MGG_00208,0,19,17,5,17,22,20,7,0,10,3,2,14,5,16,5,0,7,5,4,16,9,7,13
MGG_00210,0,74,22,41,124,96,43,51,0,44,28,23,147,93,253,58,0,31,11,15,102,66,82,76
MGG_00211,0,1,3,6,48,14,8,7,0,1,5,7,30,173,225,18,0,1,3,5,52,158,196,146
MGG_00212,0,68,113,56,246,64,45,117,0,17,50,65,179,686,1034,152,0,16,95,106,231,415,921,492
MGG_00213,0,44,28,28,80,69,32,20,0,13,16,13,76,55,88,30,0,11,20,16,71,27,73,42
MGG_00215,0,1,0,2,0,19,3,0,0,1,0,0,0,0,5,0,0,1,1,0,0,2,1,0
MGG_00216,0,5,6,59,89,35,131,411,0,0,3,11,4,0,11,54,0,0,5,5,7,26,50,122
MGG_00220,0,20,12,26,891,308,169,73,0,6,6,7,361,80,342,85,0,4,2,15,295,103,177,178
MGG_00221,2,428,291,499,1000,712,427,206,1,209,235,172,1979,975,1342,248,0,134,105,123,1204,315,649,711
MGG_00222,0,75,18,31,57,52,30,12,0,25,9,8,46,24,52,14,0,27,9,4,43,15,24,44
MGG_00223,1,418,290,374,1389,828,612,238,0,147,179,195,1080,1987,3621,359,0,123,162,181,1199,1423,2590,2460
MGG_00225,0,0,0,0,15,33,12,28,0,0,0,0,1,49,182,21,0,0,0,0,2,135,352,80
MGG_00226,0,2,0,2,46,112,40,3,0,0,0,0,25,8,62,17,0,0,0,0,28,43,58,41
MGG_00227,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MGG_00230,1,0,0,800,142,112,77,50,0,0,0,99,1329,70,131,40,0,0,1,60,453,45,120,66
MGG_00232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00241,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MGG_00242,0,0,2,147,6,0,4,3,1,0,0,26,34,5,13,2,0,0,0,9,10,4,6,4
MGG_00243,0,0,0,0,0,5,2,0,0,0,0,1,1,1,3,0,0,0,0,0,0,2,1,0
MGG_00244,0,9,2,11,124,1131,451,21,0,16,0,2,29,3,109,20,0,10,0,1,34,31,77,72
MGG_00245,0,46,48,80,80,24,23,14,0,75,9,28,272,9,36,18,0,54,22,27,109,8,22,33
MGG_00246,0,167,122,26,88,21,14,34,2,168,56,41,229,3991,1540,65,0,100,86,70,160,871,1093,159
MGG_00249,0,109,49,41,82,95,78,25,0,48,23,19,78,70,113,36,0,34,20,18,55,30,62,42
MGG_00252,0,97,57,65,166,81,47,40,0,21,47,28,109,70,161,88,0,27,36,34,90,38,63,42
MGG_00253,0,25,24,19,62,25,9,5,0,4,8,18,39,20,55,9,0,8,10,12,64,23,44,54
MGG_00254,1,1019,276,358,657,798,583,267,1,517,188,155,524,575,1458,380,0,381,133,157,471,541,695,640
MGG_00255,0,284,99,79,115,186,104,44,0,106,77,43,91,29,86,82,0,97,49,54,62,33,50,58
MGG_00256,0,389,224,239,509,358,197,77,0,145,135,98,289,113,549,132,0,124,91,77,279,181,253,312
MGG_00257,0,26,24,26,36,18,5,9,0,6,7,11,33,82,89,11,0,7,11,9,30,39,72,56
MGG_00258,0,6,112,47,126,58,32,11,1,2,53,33,93,34,54,37,0,2,62,23,82,17,38,15
MGG_00259,0,73,2,9,9,3,1,4,0,33,8,1,34,41,9,8,0,60,32,8,30,24,17,2
MGG_00260,0,1,4,1,8,9,2,0,0,0,1,2,0,3,3,1,0,1,1,2,5,3,0,1
MGG_00261,0,185,49,104,152,146,82,41,1,75,30,57,124,109,208,57,0,95,37,35,126,79,148,72
MGG_00264,0,45,40,15,88,50,23,97,1,34,33,24,95,445,620,89,0,16,81,59,86,269,685,241
MGG_00265,0,4,4,9,11,6,2,2,0,3,4,6,8,32,42,3,0,0,7,7,11,24,57,18
MGG_00266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00268,0,283,374,127,214,100,62,523,0,29,242,219,486,581,1334,259,0,26,502,330,549,981,1501,628
MGG_00269,0,0,1,0,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,0
MGG_00270,0,4,7,1,17,5,0,125,0,4,14,17,135,666,1665,279,0,4,87,53,163,705,825,313
MGG_00271,0,79,57,46,90,35,37,55,0,41,38,34,38,104,195,69,0,35,32,32,36,44,172,68
MGG_00272,1,42,99,132,326,85,27,41,0,25,59,111,458,103,191,49,0,13,112,94,312,51,119,54
MGG_00273,0,338,686,117,1169,374,215,2690,4,179,514,478,402,18284,20882,1077,0,94,1209,663,266,6865,15530,2095
MGG_00274,1,120,97,91,121,109,37,97,0,41,51,56,86,135,271,155,0,32,65,50,73,85,248,126
MGG_00275,0,22,1,12,34,15,10,11,0,9,6,13,14,77,293,21,0,6,6,7,16,46,114,71
MGG_00276,0,190,45,43,56,72,41,23,0,74,16,18,30,80,170,36,0,55,27,16,19,21,118,22
MGG_00277,0,196,43,41,10,52,28,15,0,60,55,47,6,3,9,10,0,71,24,42,6,12,15,20
MGG_00278,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,8,0,0,0
MGG_00281,0,0,9,8,22,28,25,3,0,0,1,4,8,6,44,20,0,0,4,6,7,10,22,6
MGG_00282,0,1,1,9,74,35,32,9,0,1,1,0,83,11,78,20,0,0,0,0,67,12,31,22
MGG_00283,0,0,0,2,214,62,60,117,0,1,0,3,250,1238,1056,111,0,0,0,4,159,403,1153,295
MGG_00287,0,62,81,101,158,81,64,22,0,32,40,51,60,73,70,82,0,18,30,25,63,51,78,31
MGG_00288,0,29,20,23,50,45,17,13,1,9,13,13,63,67,84,38,0,18,9,15,57,40,53,27
MGG_00289,0,1099,726,855,728,334,302,198,2,444,795,617,534,74,391,349,0,431,298,376,355,128,218,130
MGG_00290,0,7,2,7,22,24,7,1,0,5,7,5,4,8,22,12,0,1,2,2,1,18,14,32
MGG_00291,0,12,12,4,36,65,81,12,0,8,2,0,14,15,129,60,0,7,4,3,18,20,33,37
MGG_00292,0,1,0,0,4,16,12,1,0,2,0,0,1,0,6,5,0,0,0,1,0,1,3,0
MGG_00294,0,66,17,18,32,51,23,15,0,31,18,7,27,21,44,14,0,10,11,10,26,22,81,34
MGG_00295,0,103,10,25,11,37,19,4,0,52,9,10,15,16,17,10,0,58,9,12,12,15,34,14
MGG_00296,0,12,356,5,8,17,12,18,0,5,121,48,12,9,27,20,0,1,138,39,9,22,25,13
MGG_00297,0,43,27,13,76,65,45,53,0,18,10,21,47,28,117,39,0,10,18,16,66,73,56,61
MGG_00298,0,18,19,16,30,24,22,5,0,7,10,9,7,14,29,23,0,3,10,9,9,27,26,6
MGG_00299,0,577,307,342,271,231,197,78,0,236,128,158,215,144,169,130,0,192,143,118,143,50,106,60
MGG_00300,0,2,1,3,5,5,4,4,0,0,3,5,5,4,13,13,0,2,0,2,0,3,5,9
MGG_00301,0,0,0,0,2,4,19,12,0,0,0,0,3,4,17,13,0,0,0,0,3,1,6,12
MGG_00302,0,32,133,15,72,19,13,130,0,21,96,109,115,327,922,49,0,4,286,207,98,316,823,274
MGG_00304,0,0,11,14,16,2,0,3,0,0,22,14,2,4,1,2,0,0,23,10,1,1,0,0
MGG_00305,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00306,0,60,34,30,141,102,55,109,0,28,23,24,82,372,762,116,0,18,12,15,153,440,425,179
MGG_00307,0,103,92,50,253,124,55,78,0,45,49,42,223,238,419,87,0,27,40,42,221,196,351,252
MGG_00308,0,26,42,25,44,27,16,12,0,12,11,7,81,39,56,22,0,15,11,4,56,14,37,21
MGG_00309,0,48,39,17,91,46,24,7,0,19,8,8,56,31,122,23,0,20,11,22,50,36,71,68
MGG_00310,0,1,0,3,36,31,19,7,0,1,0,0,44,1,9,6,0,0,0,0,36,1,12,4
MGG_00311,0,19,2,6,37,315,56,6,0,5,0,4,3,41,326,65,0,24,0,14,10,250,160,80
MGG_00312,0,12,32,19,106,40,38,6,0,11,7,15,30,15,74,18,0,8,6,8,40,31,27,55
MGG_00314,1,80,40,16,425,481,280,26,0,28,7,8,43,2,53,23,0,37,27,12,26,8,15,30
MGG_00316,0,50,22,20,255,42,61,63,1,6,31,17,90,343,586,103,0,15,37,20,143,62,263,113
MGG_00317,0,59,60,31,164,72,51,14,0,16,21,14,77,20,122,36,0,15,19,26,44,30,72,64
MGG_00318,0,131,85,85,173,145,107,15,0,53,57,47,117,81,112,47,0,43,42,47,101,41,61,61
MGG_00319,1,167,38,92,160,83,66,64,0,53,9,12,232,21,51,67,1,47,17,12,180,19,38,65
MGG_00320,0,45,126,25,19,37,15,5,0,46,66,49,37,11,8,5,0,22,106,36,17,5,11,9
MGG_00321,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1
MGG_00322,0,6,8,4,3,8,2,3,0,0,3,3,9,1,17,2,0,5,4,6,8,3,6,0
MGG_00325,0,68,13,39,19,12,5,3,0,18,2,11,0,8,3,3,0,21,9,4,1,3,7,12
MGG_00329,0,3,18,4,192,22,13,43,1,3,15,31,71,974,825,25,0,2,78,49,145,618,1085,262
MGG_00330,2,397,270,243,594,489,197,150,1,183,146,128,665,677,998,226,0,155,120,120,515,414,642,498
MGG_00331,0,88,57,69,134,119,50,54,0,56,48,49,185,101,348,111,0,31,34,31,163,84,161,239
MGG_00332,0,22,8,13,39,32,7,9,0,4,13,11,43,33,71,20,0,6,10,9,46,20,32,27
MGG_00333,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0
MGG_00336,0,75,41,71,146,110,49,38,0,23,33,14,127,83,262,54,0,25,35,26,117,65,163,145
MGG_00338,0,85,34,55,48,73,48,7,0,45,23,24,11,13,57,24,0,27,13,16,21,16,41,26
MGG_00339,0,285,57,9,17,26,5,7,1,327,20,9,38,21,10,17,0,146,23,19,16,6,12,10
MGG_00340,0,4,1,1,7,9,4,0,0,2,0,1,6,3,2,2,0,0,3,0,4,0,3,5
MGG_00341,1,166,130,154,408,279,187,82,0,77,75,64,457,299,611,112,0,51,32,57,461,162,292,268
MGG_00342,0,132,70,51,143,158,129,57,1,25,37,40,73,75,240,83,0,32,80,56,80,149,186,133
MGG_00343,0,75,25,27,56,206,141,46,0,34,16,27,58,120,396,88,0,37,40,29,46,51,214,107
MGG_00345,0,300,118,121,289,378,254,102,1,142,76,60,223,98,393,149,0,106,55,69,178,107,263,191
