Gene,t0,t8,t16,t24,t48,t72,t96,t144
MGG_13863,0,0,0,4.382115018,2.691092859,0.357220619,0.099947731,0.219116422
MGG_08442,0,0,0,5.115988622,0,0.210211994,1.091544148,1.3539926
MGG_12415,0,3.86538775,3.09162502,0.639498578,0.224257738,0,0,0
MGG_14600,0,0,0,6.421780304,0,0.357220619,0,1.134876177
MGG_04925,0,0,3.037471605,0,0.502823955,0.538274292,0.180932128,3.696569478
MGG_16059,0,0,0,7.375373223,0.723161121,0,0,0
MGG_08787,0,0,1.832754568,6.421780304,0,0,0,0
MGG_15911,0,0,0,3.836991467,2.896565055,0.777644607,0.545772074,0.219116422
MGG_15507,0,0,0,8.450135695,0,0,0,0
MGG_17563,0,0,0,5.7554872,0.498903382,0.567432613,1.091544148,0.567438089
MGG_04580,0,0,0,4.707519255,2.444129006,0,0.745667537,0.786554511
MGG_09666,0,0,0,7.469748249,0,0.86633659,0.099947731,0.421306903
MGG_12509,0,3.154559982,2.061083347,1.278997156,0.498903382,0.328062298,1.637316223,0
MGG_11650,0,0,0,0,1.864052678,2.543145814,1.107531793,3.477613769
MGG_17579,0,0,0,0,3.00126144,3.40214299,1.472371739,1.134876177
MGG_04384,0,0,1.256075062,1.71426105,0.955260005,2.270947471,2.283036028,0.567438089
MGG_17543,0,0.757264125,0,3.103117862,1.140891557,1.908840126,1.272476276,1.005670933
MGG_16759,0,0,0,5.021613595,1.04819467,1.25271553,1.837211686,0.219116422
MGG_01455,0,0,1.204717037,5.347017832,0.912713246,0.210211994,0.94258731,0.786554511
MGG_03791,0,0,0,9.006569142,0.228178311,0.210211994,0,0
MGG_16654,0,0,0,0,2.54882539,3.951426401,1.866211284,1.207861414
MGG_18015,0,0.378632062,1.204717037,1.074762472,1.50063072,2.059518458,1.707218182,1.702314266
MGG_08376,0,0,0,5.158267779,2.633681131,0.328062298,0.680670785,0.842613806
MGG_16209,0,3.266257878,0,4.193364964,0,0.210211994,1.372424008,0.640423325
MGG_17250,0,0,0,5.98651641,3.496244249,0.210211994,0.099947731,0.219116422
MGG_17567,0,0,0,6.641499618,0.908792673,0,2.183088297,0.421306903
MGG_15843,0,1.51452825,1.204717037,3.632756783,0.684534934,0.685282917,0.826651934,1.629168317
MGG_00380,0,1.593595376,0,3.428522099,4.764776084,0,0.180932128,0.219116422
MGG_10424,0,3.200996339,2.409434074,1.184622129,1.005647911,1.071661857,0.299843194,1.061730228
MGG_17956,0,1.593595376,4.644692784,1.71426105,0,0.86633659,1.026547397,0.640423325
MGG_17478,0,0,1.256075062,7.171138539,0.727081694,0,0.461811987,0.876465688
MGG_16071,0,0,0,0,4.122550131,0.685282917,2.879746727,3.073072094
MGG_01851,0,0,0,0,0.45243605,5.309766097,1.753251599,3.365173753
MGG_01879,0,0,0.628037531,7.034484355,2.088310416,0.357220619,0.542796384,0.421306903
MGG_01358,0,4.715524589,1.030541673,3.632756783,0.224257738,1.013345215,0.180932128,0.421306903
MGG_10065,0,0,0,4.707519255,3.522870937,0.567432613,1.007584061,1.629168317
MGG_08230,0,0,0,5.115988622,5.811915652,0.328062298,0.280879859,0.219116422
MGG_17530,0,0,0.628037531,0,3.449539138,4.803084165,1.85319933,1.410051895
MGG_17191,0,2.051294565,1.204717037,1.278997156,2.316488728,2.62816809,1.007584061,1.685227613
MGG_14053,0,0,0,0,0,0.656124596,3.070715118,8.758776025
MGG_16011,0,0,0.628037531,1.278997156,4.319705625,4.150629276,1.553356136,0.567438089
MGG_16660,0,1.672662502,0,1.278997156,7.382774923,1.312249192,0.861602913,0
MGG_16339,0,1.135896187,0,2.898883178,3.859666207,2.417956096,1.207479524,1.26392071
MGG_02338,0,0,0,2.557994311,6.852848723,0.984186894,1.818248351,0.786554511
MGG_09474,0,1.972227438,0.628037531,0,1.179517743,4.679130115,1.869186975,2.780809723
MGG_06234,0,0,1.030541673,0.639498578,1.272452409,1.433769203,2.212087895,6.775683143
