,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48
MGG_15608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MGG_15609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,1,1
MGG_15610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
MGG_15611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_15612,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,31,3,42,80,16,123,42,24
MGG_15613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_15614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_15615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,4,0,5,1,1
MGG_15616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_15617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,3,0
MGG_15618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1
MGG_15619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MGG_15620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MGG_15621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,22,13,1
MGG_15622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,6,2,3
MGG_15623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MGG_15624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,16,13,10,118,54,43
MGG_15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
MGG_15626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MGG_15627,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,25,17,9
MGG_15628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,47,21,7
MGG_15629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_15630,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
MGG_15631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_15632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0
MGG_15633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
