,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48
MGG_00005,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,4,12,5,6,1,1
MGG_00010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,52,9,15
MGG_00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,12,3,86,21,38
MGG_00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,10
MGG_00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,1,0
MGG_00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MGG_00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2
MGG_00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
MGG_00023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MGG_00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1
MGG_00032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,11,1,1
MGG_00033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19,24,10,51,21,19
MGG_00040,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,10,7,177,172,115
MGG_00041,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,0,30,29,12,29,23,10
MGG_00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,11,0,4
MGG_00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,16,2,8,1,3
MGG_00045,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,31,28,9,146,30,69
MGG_00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,29,2,4
MGG_00047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,43,13,49,57,60
MGG_00048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,25,29,3,31,17,7
MGG_00049,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,25,31,9,125,52,28
MGG_00050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,8,0,49,20,14
MGG_00052,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,2,0,18,33,5,84,31,4
MGG_00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,29,59,3,295,142,34
MGG_00054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,26,20,7,10,3,8
MGG_00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,16,4,0
MGG_00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,1,1
MGG_00058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,3,3,24,4,4
MGG_00059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
MGG_00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
MGG_00062,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,31,42,7,122,41,32
MGG_00063,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,10,0,43,76,20,549,319,150
MGG_00065,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,11,0,33,35,19,354,118,92
MGG_00066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1
MGG_00067,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3,1,25,32,7,225,185,94
MGG_00068,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,11,1,49,29,16
MGG_00070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,209,80,26
MGG_00071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
MGG_00072,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00073,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,6,12,3,92,35,24
MGG_00074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0
MGG_00075,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,11,29,5,63,23,17
MGG_00076,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,1,51,23,21
MGG_00077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,1,3
MGG_00078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
MGG_00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,11,4,5
MGG_00080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,71,30,67,23,17
MGG_00081,0,0,0,0,1,1,0,0,0,0,0,0,0,4,3,7,57,8,160,271,48,2339,1533,983
MGG_00082,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,6,4
MGG_00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,12,2,16,9,1
MGG_00084,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,2,0,15,10,8
MGG_00085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,7,2,41,17,25
MGG_00086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
MGG_00087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,39,102,10,354,173,48
MGG_00088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MGG_00095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,6,2
MGG_00096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,7,5,30,1,9
MGG_00097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,56,37,6,285,467,238
MGG_00099,0,0,0,0,0,0,1,0,0,0,0,1,3,6,0,2,7,0,136,81,3,1226,1680,753
MGG_00100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,6,2,13,12,1
MGG_00101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,8,3,96,64,37
MGG_00102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,1,43,31,13
MGG_00103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,16,26,12,130,54,22
MGG_00104,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,33,28,9,112,57,33
MGG_00105,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,16,27,4,86,27,9
MGG_00106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,26,30,10,122,64,28
MGG_00109,0,0,0,0,0,0,0,0,0,2,0,2,1,0,2,1,6,0,20,55,13,134,40,18
MGG_00110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,8,7,77,27,3
MGG_00111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,34,2,109,37,19
MGG_00112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,56,10,6
MGG_00116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,2,2
MGG_00117,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,16,31,5,124,48,15
MGG_00118,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,9,2,40,35,9,139,47,32
MGG_00119,0,0,1,0,1,1,0,0,0,0,0,1,4,0,0,5,4,1,50,112,23,1224,597,281
MGG_00120,0,0,0,0,0,0,1,4,0,0,0,2,0,1,0,3,2,0,30,75,11,54,27,23
MGG_00123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,14,3,43,7,6
MGG_00124,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,30,49,10,299,149,97
MGG_00125,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,0,8,18,6,58,45,15
MGG_00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,215,128,39
MGG_00127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,101,53,39
MGG_00128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,5,5,148,89,47
MGG_00129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,16,35,11,98,36,11
MGG_00130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,28,18,11
MGG_00133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,12,6,7
MGG_00134,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,15,3,30,48,21,174,63,25
MGG_00135,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,7,0,68,79,12,364,280,112
MGG_00136,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,6,14,7,74,59,24
MGG_00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,7,2,78,29,13
MGG_00138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,8,0,23,39,11,199,56,26
MGG_00139,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,20,0,63,68,9,312,123,46
MGG_00140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,11,1,41,21,15
MGG_00141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,32,26,5,217,86,119
MGG_00142,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,19,30,13,78,52,46
MGG_00143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,15,12,6,185,58,41
MGG_00144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,6,2,1
MGG_00146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,26,8,79,50,29
MGG_00148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0
MGG_00149,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,19,2,43,64,11,283,134,69
MGG_00150,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,109,77,29,738,431,230
MGG_00151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,24,64,10,79,24,15
MGG_00152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14,17,4,45,20,9
MGG_00153,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,21,23,11,268,205,97
MGG_00154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10,12,2,49,15,21
MGG_00155,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,9,21,8,178,48,29
MGG_00156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
MGG_00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,17,15,4,116,59,32
MGG_00158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,25,21,6,61,16,10
MGG_00162,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,27,2,73,118,27,555,282,99
MGG_00163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,48,8,4
MGG_00164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,40,86,5,218,124,47
MGG_00166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,23,4,86,26,17
MGG_00167,0,0,2,0,0,2,0,0,3,0,0,0,0,1,1,6,12,1,85,81,23,739,432,266
MGG_00168,0,0,1,0,0,0,0,1,1,5,0,8,3,3,0,5,25,1,208,206,31,1003,426,347
MGG_00169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,11,32,2,49,28,11
MGG_00170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,62,95,12,371,264,101
MGG_00171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,22,38,5,137,62,36
MGG_00172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,29,8,64,32,17
MGG_00174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,15,22,2,48,19,10
MGG_00175,0,0,0,2,0,1,0,0,1,1,0,2,8,0,0,9,16,1,260,211,35,861,905,426
MGG_00176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,1
MGG_00177,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5,13,5,89,34,6
MGG_00178,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,14,1,37,92,16,254,87,51
MGG_00179,0,1,1,0,0,1,0,0,0,5,0,0,0,0,1,3,22,0,58,87,7,1658,513,435
MGG_00180,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,4,0,5,12,5,25,5,13
MGG_00181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,6,0,4
MGG_00183,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,6,0,24,18,10,95,28,26
MGG_00184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,30,49,20,209,55,38
MGG_00187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,15,7,6,59,70,20
MGG_00190,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,7,1,11,1,0
MGG_00193,1,8,6,3,0,0,3,0,0,0,0,0,0,1,0,1,5,0,21,21,4,98,77,33
MGG_00194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,697,524,657
MGG_00195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,96,55,27
MGG_00198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,26,16,10
MGG_00199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,55,29,12
MGG_00201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,0,10,3,2
MGG_00202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,8,4,0
MGG_00203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,15,0,2
MGG_00204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,11,16,5,180,104,53
MGG_00205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1,39,10,12
MGG_00207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,19,10,8
MGG_00208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,32,8,5
MGG_00210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,22,38,7,67,29,27
MGG_00211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,43,45,19
MGG_00212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,21,11,3,212,236,132
MGG_00213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,28,4,94,57,17
MGG_00215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1
MGG_00216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
MGG_00220,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,25,22,12,118,30,46
MGG_00221,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,13,84,4,188,401,76,1020,732,288
MGG_00222,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,12,5,5,32,31,20
MGG_00223,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,21,1,104,103,25,761,805,476
MGG_00225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,30,22,10
MGG_00226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,2,29,10,8
MGG_00227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00230,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,37,215,21,129,283,162,111,150,84
MGG_00232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,21,0,12,8,2
MGG_00243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MGG_00244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,2,499,25,13
MGG_00245,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,24,1,93,105,13,50,16,9
MGG_00246,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,63,32,3,592,775,331
MGG_00249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8,12,2,81,40,27
MGG_00252,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,18,25,4,170,61,21
MGG_00253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,14,6,8,36,23,9
MGG_00254,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,8,15,1,79,110,20,442,324,152
MGG_00255,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,1,37,15,9
MGG_00256,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,49,26,7,218,132,84
MGG_00257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,39,33,8
MGG_00258,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,11,12,3,20,11,8
MGG_00259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
MGG_00261,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,43,36,3,133,74,23
MGG_00264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,5,1,146,150,61
MGG_00265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,8,9,5
MGG_00266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00268,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,174,77,45
MGG_00269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MGG_00270,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,6,2,1,206,284,190
MGG_00271,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,12,16,3,33,19,26
MGG_00272,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,32,1,77,76,11,88,29,17
MGG_00273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,39,5,661,230,99
MGG_00274,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,17,13,2,117,49,31
MGG_00275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,32,15,25
MGG_00276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,41,18,13
MGG_00277,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0
MGG_00278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,2,27,4,5
MGG_00282,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,16,1,61,57,5,24,8,7
MGG_00283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,2,106,115,27,90,70,41
MGG_00287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,33,10,40,24,5
MGG_00288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,9,21,3,86,40,21
MGG_00289,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,22,0,64,60,19,133,70,39
MGG_00290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,19,6,5
MGG_00291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,32,12,6
MGG_00292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
MGG_00294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,8,1
MGG_00295,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
MGG_00296,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2,2,20,12,3
MGG_00297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,11,3,34,29,16
MGG_00298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,19,4,1
MGG_00299,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,30,4,34,86,17,117,39,13
MGG_00300,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0
MGG_00301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,5
MGG_00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,38,21
MGG_00304,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
MGG_00306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,21,7,151,79,51
MGG_00307,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,14,0,44,23,9,180,170,76
MGG_00308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,12,1,56,23,23
MGG_00309,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,11,4,5,23,15,13
MGG_00310,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,10,12,2,4,5,1
MGG_00311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,3,70,11,9
MGG_00312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,5,3,8,14,5
MGG_00314,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,20,2,6
MGG_00316,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,103,49,36
MGG_00317,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,24,16,1,26,27,15
MGG_00318,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,15,36,9,138,50,30
MGG_00319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,18,45,5,45,26,17
MGG_00320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,11,7,1
MGG_00321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MGG_00322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0
MGG_00325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MGG_00329,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,4,2,94,100,43
MGG_00330,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,53,2,92,138,32,535,322,113
MGG_00331,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,22,30,5,139,71,61
MGG_00332,0,1,1,3,0,0,0,2,0,0,0,5,0,0,0,1,1,0,10,13,3,40,19,9
MGG_00333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_00336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,22,8,129,99,45
MGG_00338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,39,1,5
MGG_00339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,8,1,0
MGG_00340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,3
MGG_00341,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,22,1,105,130,21,505,288,95
MGG_00342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,8,135,57,34
MGG_00343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,4,10,60,31,27
MGG_00345,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,7,0,32,35,4,122,78,52
MGG_00346,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,16,0,44,65,20,194,153,56
MGG_00347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,23,8,5
