"","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","B13","B14","B15","B16","B17","B18","B19","B20","B21","B22","B23","B24","gene"
"1",0,1.21365088102953,19.939075904259,30.4833160690025,12.0194237367093,9.88511006150557,9.26446797613845,3.15192481843696,0,0,7.16104003497939,13.2709832555375,15.9831037063738,4.09739341147459,3.22215097817065,18.3921446043877,0,13.8700318814322,0,6.62201723625034,10.2315501468807,3.02972819688447,3.14018443467857,0.724919504580558,"MGG_00005"
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00010"
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00013"
"4",0,5.58323497948642,18.3453986294408,0,19.1684881851316,38.0337179957094,12.7859755583491,20.2999989895881,0,7.22655726483986,13.177354324131,9.1577016606672,4.41168502848954,4.24113711766733,28.4602850431552,19.525510882671,0,6.38071857215749,40.8146690076111,36.5564221270931,17.8861621868313,38.0967911599161,65.6260654392595,46.0215246245842,"MGG_00015"
"5",0,1.41476218927838,13.9458807072596,0,50.4400857111983,55.5206270626815,18.8994080606438,23.8824499044858,0,1.52597613129818,0,5.80128281265511,22.8237433450309,3.58227231802972,30.2364942165009,32.1597971534719,0,4.04210077557272,9.69583225921602,15.4386730962522,62.0203838362584,100.067029686512,80.2703515966729,95.0674787580688,"MGG_00016"
"6",0,0,3.4914924617138,0,1.87084240780355,1.31133502164757,0.450634114079912,5.97921318553677,0,0,8.3597044718342,1.93654653383167,0.466461655273887,2.98952717215771,9.96796680305409,2.47739412063622,0,0,19.4195983480466,27.0565970741868,0.298604445369925,20.6317129012847,28.8027947117943,16.0789694090026,"MGG_00017"
"7",0,0,0,0,0,1.09108522416429,0,0,0,0,0,0,0,0,2.73850650254192,0.572581901233741,0,0,0,0,0,0.817449637353567,8.16992794103205,7.92140366351691,"MGG_00018"
"8",0,0,0,0,0,0,3.17272010136181,0,0,0,0,0,0,0,1.98623059283176,0,0,0,0,0,0,0,6.45234651588111,13.4058643473853,"MGG_00019"
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501577866970891,0,"MGG_00020"
"10",0,0.870083752641832,8.57676598344558,36.4232120522523,11.4891967400675,3.22126246294317,4.42788679397417,2.25966018476761,0,0,5.1338524808451,35.6780945803064,7.44803583542944,0,1.61700442931409,1.0142763614919,0,0,15.9012563968081,35.6056446938513,4.40108717570705,0.724018557075718,1.92963714427018,0.519705207459381,"MGG_00021"
"11",0,0,0,0,0,0,0.128177580100908,0,0,0,0,0,0.265359076531289,0,0,0,0,0,0,0,0,0.0838349767391617,0.0372391663915125,0,"MGG_00022"
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00023"
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428188605329507,"MGG_00024"
"14",0,0,2.50599055719781,6.38535963149287,2.01417307614334,0,0,0.990353548721041,0,0,2.25004142538279,2.08491098602039,2.00879454771174,0,0,0,0,0,1.74228251308079,0,0,0.634639095004956,0,0.4555480509554,"MGG_00026"
"15",0,0,0,0,1.83506800983971,0,0.589356070072108,4.81220774841995,0,0,0,0,0.305027958827366,0.977453731589997,1.35284206291468,1.08000941883049,0,0,0,0,0.390526009750946,0,3.08203913133432,1.10677235590069,"MGG_00031"
"16",0,3.01035343409135,5.93485324907375,7.56111635110175,5.96262303882786,10.2534582549648,9.19187665017458,3.12722805198495,0,3.89639546943619,0,9.87524929323662,4.75736064286678,1.2704026462487,2.23783277044153,3.50923726441737,0,5.16050769927429,0,0,6.09082877499909,1.50299444830753,1.55778982974015,1.07885914516176,"MGG_00032"
"17",0,0,0,0,1.25457766566579,0.468999882549068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533980437856265,0,0.234121353671111,0.378332538969657,"MGG_00033"
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00035"
"19",0,2.04700023723428,4.03562115704582,8.56909734096446,83.252487147258,42.439569791503,31.7726312381798,14.8853139444132,0,3.53266269223607,12.0781444479423,4.47669198729919,46.3675001229393,5.35591264154748,12.2822644129276,19.567123693077,0,5.84846082912537,10.2877634105723,10.052103087395,46.5939274171384,17.0336034157174,8.77686105680532,15.8948800463226,"MGG_00039"
"20",0,8.47047086356335,9.94010034006611,6.75406806165782,46.0715658450254,11.647907516103,16.9347058166192,57.0908928276498,0,5.220760858654,22.6096682338006,23.155645242376,51.7917058831781,128.686786479772,144.889917553147,40.9074827409976,0,2.30484617714744,86.6156773760192,48.418069595497,110.174459869029,259.115979897063,237.054783624097,281.161028756398,"MGG_00040"
"21",0,19.6708534797265,33.7862203267876,58.640046923688,63.1659325210014,53.6266403885432,37.539624239313,9.28843590131385,0,21.2171721295698,7.91360024229177,36.6641073759803,36.5030840502731,4.90532489415536,20.4150799211833,32.3115254272216,0,20.4368615212957,6.12776598782452,17.075172444455,47.4885308235474,34.2252786711327,16.5247108172955,38.4528938080637,"MGG_00041"
"22",0,0,0,0,54.909912478743,45.9626781955183,53.6718483813707,23.4772047137988,0,0,0,0,6.74620168939859,3.30628516150177,6.24007444581312,7.02535538621595,0,0,0,1.64414300498078,8.12906690101186,4.01191459273721,4.45519164191791,4.31966740082415,"MGG_00042"
"23",0,0,0,551.923619186046,11.6434062454925,5.59628343459676,6.41045495889908,0,0,0,0,241.046470965718,34.836943150173,1.06318123099994,0,0,0,0,0,144.3341933061,10.6194265356456,2.09638979743441,5.5872485345364,6.01920867327955,"MGG_00043"
"24",0,3.73524235997412,9.6432778993558,26.8052076197045,353.362363252961,241.015864121928,173.794556663486,89.3845658634736,0,2.30221051753145,3.14849546676828,11.6697101023086,97.3280139564276,21.6180183636654,43.6338538972723,87.0851344749686,0,1.52455971092565,7.31395679970375,13.1017645709406,74.2253667231063,35.5221604565274,56.8036934344534,85.099697623007,"MGG_00045"
"25",0,1.21685418259608,0,0.565995805892803,46.0621646143028,21.0237591692319,17.0296876704241,11.5875612840129,0,0.875007098712052,0,0,6.67720391560402,2.05410402135785,9.79965501882892,8.03824892094917,0,0,0,1.10658255696496,8.54879602341646,3.37524982232923,3.89810895228185,4.36099711201646,"MGG_00046"
"26",0,2260.64272770837,148.395555117656,1400.43533686619,2332.42886440318,902.897516745881,1031.06280861378,195.483663739386,0,1228.64746770723,29.608708389527,281.216197730733,2136.20541658589,280.593054679413,518.249448165302,2474.41619178509,0,3383.55181819411,154.757355304752,629.740324846517,772.053981440488,258.891304943573,282.859208122584,95.9142475938096,"MGG_00047"
"27",0,2.26309865160223,10.2246259917698,38.684367738331,30.6306320636138,33.5141747640217,38.1500246334482,21.3055902879021,0,7.32300004472038,8.34575880744837,24.7464446164003,43.5879759407069,2.62639523608269,6.0083551603992,22.4242360601904,0,3.23293656141067,12.9248017077139,21.6091689932127,22.8945648569685,7.06192973641042,6.27376273551257,4.39321903167113,"MGG_00048"
"28",0,79.0307037721019,57.6048838901722,109.502124744325,117.953586079281,155.773778101623,188.349555750288,42.6394501184974,532.473847369921,75.6384022274163,85.3813818204107,76.0723519571042,57.1701655163158,12.9179647985688,22.7551832003883,92.776671492391,0,79.5062375276754,62.2994165428817,68.3260877579157,77.8866912448691,29.1767351436502,24.6860777261545,28.2567650257623,"MGG_00049"
"29",0,10.7270827924663,13.3251074828994,6.2064409215234,18.3105863942735,10.4613223429449,4.32729583520491,5.09613722240366,0,5.07965921382551,6.17504452473643,6.43709056930917,8.44172503376542,3.42281456960355,8.61333961842884,6.40489944127456,0,11.2127651861227,8.36770201217437,9.99291854059399,9.48448803677325,1.74171223008809,5.80246283220635,5.93850849315258,"MGG_00050"
"30",0,87.5557276545692,137.85178916716,17.8171112961834,26.4950422746096,43.2203571289135,76.5830613190732,54.4782613833551,0,110.178193551179,123.772308438416,99.7292732778891,109.300478409841,85.445698695556,38.7423019689835,51.0328486215331,0,88.5963720438218,262.521131896785,129.384784842998,78.4261981065721,22.7679129335606,81.5815656447342,68.6404122593867,"MGG_00052"
